right;1458050947371;26;16;1;2;8;2;1;105674
right;1458050947372;23;31;7;0;7;1;0;110472
left;1458050947372;21;15;0;2;11;1;1;105824
right;1458050947373;25;16;1;3;8;2;1;105594
right;1458050947373;25;16;1;2;8;1;1;105604
right;1458050947373;25;16;1;2;8;1;1;105614
right;1458050947374;25;15;1;2;8;2;1;105624
right;1458050947374;26;16;1;2;8;2;1;105634
right;1458050947374;26;16;1;2;8;1;1;105644
right;1458050947375;26;16;0;2;8;2;1;105654
left;1458050947375;22;10;0;2;9;1;1;105434
right;1458050947377;26;16;0;2;8;2;1;105664
right;1458050947380;24;15;5;0;8;2;0;110482
right;1458050947380;26;16;1;2;8;2;1;105674
right;1458050947383;24;30;7;0;8;1;0;110492
right;1458050947383;22;12;6;0;6;1;0;110712
right;1458050947384;21;2;4;0;6;1;0;110502
right;1458050947384;23;32;7;0;7;1;0;110512
left;1458050947384;22;15;1;2;10;1;1;105834
left;1458050947385;34;7;4;0;7;1;0;110522
left;1458050947385;31;4;5;0;6;1;0;110532
right;1458050947385;27;16;0;3;7;1;1;105684
right;1458050947388;27;16;0;2;7;1;0;105694
right;1458050947388;27;16;0;3;7;1;1;105684
right;1458050947388;27;16;0;2;7;1;0;105694
right;1458050947389;27;16;1;2;8;1;1;105704
right;1458050947389;23;6;4;0;7;2;0;110522
right;1458050947389;21;3;5;0;6;1;0;110532
left;1458050947390;21;15;0;2;10;1;1;105844
left;1458050947390;21;14;0;2;11;1;1;105854
left;1458050947393;33;15;6;0;8;1;0;109902
left;1458050947393;22;15;1;2;10;1;1;105834
left;1458050947393;21;15;0;2;10;1;1;105844
left;1458050947394;21;14;0;2;11;1;1;105854
left;1458050947395;21;10;0;2;9;1;1;105444
right;1458050947395;28;16;1;2;7;2;1;105714
right;1458050947395;22;13;6;0;6;1;0;110542
right;1458050947398;24;25;7;0;8;2;0;110552
right;1458050947399;22;16;7;0;6;1;0;110562
left;1458050947399;21;14;0;2;11;2;1;105864
right;1458050947400;25;18;6;0;9;2;0;110722
right;1458050947400;25;29;7;0;9;2;0;110742
left;1458050947400;21;14;0;2;11;2;1;105864
left;1458050947400;21;15;0;2;11;2;1;105874
left;1458050947401;21;10;0;2;9;1;1;105454
left;1458050947401;20;10;0;2;10;1;1;105464
left;1458050947401;21;10;0;2;9;1;1;105474
left;1458050947404;33;15;7;0;6;1;0;110542
right;1458050947405;24;12;5;0;8;2;0;110572
right;1458050947405;27;16;1;2;8;1;1;105704
right;1458050947406;28;16;1;2;7;2;1;105714
right;1458050947406;28;16;1;2;7;2;1;105724
left;1458050947406;21;15;0;2;11;2;1;105874
left;1458050947409;20;15;0;2;11;1;1;105884
left;1458050947409;21;10;0;2;9;1;1;105484
left;1458050947410;21;10;0;2;9;2;1;105494
right;1458050947410;28;16;1;2;7;2;1;105724
left;1458050947410;35;28;7;0;8;1;0;110552
right;1458050947411;21;4;5;0;6;2;0;110582
right;1458050947411;28;16;1;2;7;2;1;105734
right;1458050947411;27;16;0;2;8;2;1;105744
right;1458050947411;28;16;1;2;7;2;1;105754
right;1458050947411;27;16;1;2;7;2;1;105764
left;1458050947414;20;14;0;2;11;1;1;105894
left;1458050947415;19;14;0;2;11;2;1;105904
right;1458050947415;28;8;4;0;5;0;0;110242
right;1458050947416;30;31;5;0;8;1;0;110252
left;1458050947416;32;18;7;0;6;1;0;110562
right;1458050947416;24;28;7;0;8;2;0;110592
right;1458050947417;25;27;7;0;9;2;0;110772
right;1458050947417;24;33;8;0;8;1;0;110792
right;1458050947417;23;1;4;0;7;2;0;110802
right;1458050947419;24;31;8;0;7;1;0;110812
left;1458050947420;19;15;0;2;12;1;1;105914
right;1458050947420;24;5;4;0;8;2;0;110822
right;1458050947421;24;1;4;0;7;2;0;110862
right;1458050947421;22;6;5;0;6;2;0;110872
left;1458050947421;35;13;5;0;8;2;0;110572
right;1458050947422;23;4;4;0;7;2;0;110602
left;1458050947422;30;3;5;0;6;1;0;109912
right;1458050947422;27;16;1;2;7;2;0;105774
left;1458050947422;20;15;0;2;11;1;1;105884
left;1458050947423;20;14;0;2;11;1;1;105894
left;1458050947426;19;14;0;2;11;2;1;105904
left;1458050947426;19;15;0;2;12;1;1;105914
right;1458050947427;31;17;4;0;7;1;0;110262
right;1458050947427;28;16;1;2;7;2;1;105734
right;1458050947427;27;16;0;2;8;2;1;105744
right;1458050947427;22;24;7;0;7;1;0;110612
left;1458050947428;34;29;7;0;8;1;0;109922
right;1458050947430;27;16;0;2;8;2;0;105784
left;1458050947430;19;14;0;2;12;1;1;105924
left;1458050947430;19;14;0;2;12;1;1;105934
left;1458050947431;18;14;0;2;12;2;2;105944
left;1458050947431;18;15;0;2;12;1;2;105954
left;1458050947431;18;13;0;2;12;1;1;105964
left;1458050947432;18;13;0;2;12;1;1;105974
left;1458050947432;17;13;0;2;12;2;2;105984
right;1458050947432;23;31;7;0;8;1;0;110622
